Geography,North American Industry Classification System (NAICS),REF-Date,GDP
,,2018,91.6
,,2019,109.5
,,2020,105.6
,,2021,105.3
,,2022,90.6
,,2023,92.5
,Management of companies and enterprises  [55],2013,37.4
,,2014,34
,,2015,32.1
,,2016,25.9
,,2017,20.8
,,2018,15.4
,,2019,12.2
,,2020,4.3
,,2021,2.9
,,2022,2
,,2023,1.4
,"Administrative and support, waste management and remediation services  [56]",2013,77.3
,,2014,73.6
,,2015,74.3
,,2016,64
,,2017,60.7
,,2018,59.6
,,2019,63.3
,,2020,56
,,2021,62.7
,,2022,73.3
,,2023,75.5
,Educational services  [61],2013,305.4
,,2014,304.3
,,2015,281.1
,,2016,292.7
,,2017,285.4
,,2018,281.1
,,2019,278.1
,,2020,281
,,2021,273.4
,,2022,232.4
,,2023,228.4
,Health care and social assistance  [62],2013,308.3
,,2014,317.7
,,2015,320.9
,,2016,350
,,2017,358.3
,,2018,363.1
,,2019,367.5
,,2020,370.7
,,2021,370.7
,,2022,381.2
,,2023,397
,"Arts, entertainment and recreation  [71]",2013,17.4
,,2014,13.5
,,2015,11.6
,,2016,10.6
,,2017,12.5
,,2018,10.9
,,2019,11.3
,,2020,6.3
,,2021,7.2
,,2022,9.8
,,2023,10.8
,Accommodation and food services  [72],2013,101
,,2014,90.6
,,2015,98.4
,,2016,101.9
,,2017,106.3
,,2018,101.6
,,2019,96.9
,,2020,68.3
,,2021,84
,,2022,90.8
,,2023,101.4
,Other services (except public administration)  [81],2013,56.5
,,2014,61
,,2015,60.3
,,2016,59.8
,,2017,60.3
,,2018,64
,,2019,65
,,2020,66.5
,,2021,72.6
,,2022,73.1
,,2023,69.9
,Public administration  [91],2013,674.2
,,2014,696.9
,,2015,699.4
,,2016,705.8
,,2017,720.2
,,2018,757.1
,,2019,781.7
,,2020,805.9
,,2021,830.7
,,2022,907.9
,,2023,912
Nunavut,All industries  [T001] 5,2013,"2,534.40"
,,2014,"2,509.60"
,,2015,"2,497.70"
,,2016,"2,626.70"
,,2017,"2,969.70"
,,2018,"3,105.90"
,,2019,"3,340.30"
,,2020,"3,416.40"
,,2021,"3,645.20"
,,2022,"3,737.80"
,,2023,"3,877.80"
,"Agriculture, forestry, fishing and hunting  [11]",2013,9.7
,,2014,5.8
,,2015,9.7
,,2016,9
,,2017,24
,,2018,13.3
,,2019,39.8
,,2020,31.4
,,2021,19.1
,,2022,32.5
,,2023,31.9
,"Mining, quarrying, and oil and gas extraction  [21]",2013,541.5
,,2014,585.6
,,2015,511.5
,,2016,552.3
,,2017,731.9
,,2018,733.4
,,2019,898.5
,,2020,"1,122.00"
,,2021,"1,245.50"
,,2022,"1,332.10"
,,2023,"1,387.10"
,Utilities  [22],2013,60.9
,,2014,63.6
,,2015,63.6
,,2016,60.4
,,2017,61.8
,,2018,62.8
,,2019,64
,,2020,64.8
,,2021,66.2
,,2022,65
,,2023,66.3
,Construction  [23],2013,269
,,2014,221.5
,,2015,225.9
,,2016,256.1
,,2017,339.5
,,2018,414.2
,,2019,407.3
,,2020,241.8
,,2021,264.3
,,2022,239.3
,,2023,310.6
,Manufacturing  [31-33],2013,13
,,2014,13.9
,,2015,17
,,2016,13.9
,,2017,11.2
,,2018,14.2
,,2019,17.2
,,2020,13.2
,,2021,21.9
,,2022,18.5
,,2023,16.2
,Wholesale trade  [41],2013,34.3
,,2014,25.5
,,2015,22.8
,,2016,27.4
,,2017,44.2
,,2018,35.8
,,2019,43
,,2020,40.5
,,2021,49
,,2022,41.3
,,2023,39.5
,Retail trade  [44-45],2013,98.6
,,2014,100.8
,,2015,100.5
,,2016,109
,,2017,105
,,2018,108.3
,,2019,108.5
,,2020,114.1
,,2021,115
,,2022,113.7
,,2023,116.2
,Transportation and warehousing  [48-49],2013,57.5
,,2014,61.4
,,2015,64.3
,,2016,69.3
,,2017,69.5
,,2018,75.2
,,2019,78.9
,,2020,58.3
,,2021,52.2
,,2022,78.3
,,2023,88.8
,Information and cultural industries  [51],2013,56.5
,,2014,54.7
,,2015,52.4
,,2016,61.7
,,2017,73.8
,,2018,82.6
,,2019,86
,,2020,77
,,2021,72.5
,,2022,66.4
,,2023,68.6
,Finance and insurance  [52],2013,41.7
,,2014,40.6
,,2015,41
,,2016,41.7
,,2017,40.3
,,2018,41.5
,,2019,40.3
,,2020,35.5
,,2021,36.6
,,2022,33
,,2023,33.2
,Real estate and rental and leasing  [53],2013,278.3
,,2014,270.5
,,2015,271.6
,,2016,280.2
,,2017,288.2
,,2018,295.7
,,2019,295.6
,,2020,296.3
,,2021,295.5
,,2022,299.8
,,2023,297.7
,"Professional, scientific and technical services  [54]",2013,34.9
,,2014,33.7
,,2015,30.7
,,2016,30.8
,,2017,35
,,2018,37.4
,,2019,40.6
,,2020,40.8
,,2021,40.2
,,2022,35.8
,,2023,34.7
,Management of companies and enterprises  [55],2013,12.1
,,2014,10.9
,,2015,10.8
,,2016,9.2
,,2017,7.7
,,2018,5.6
,,2019,4.4
,,2020,3.1
,,2021,2
,,2022,1.4
,,2023,1
,"Administrative and support, waste management and remediation services  [56]",2013,60.1
,,2014,58.6
,,2015,59.3
,,2016,62.1
,,2017,61.6
,,2018,63.5
,,2019,62.8
,,2020,62.5
,,2021,62.4
,,2022,68.3
,,2023,68.7
,Educational services  [61],2013,179.9
,,2014,182.9
,,2015,197
,,2016,195.2
,,2017,192.5
,,2018,195.8
,,2019,200.8
,,2020,191.7
,,2021,202.3
,,2022,205.9
,,2023,205.1
,Health care and social assistance  [62],2013,169.8
,,2014,169.1
,,2015,180.6
,,2016,184.7
,,2017,192.9
,,2018,195
,,2019,190.7
,,2020,242.4
,,2021,257.8
,,2022,254.5
,,2023,264.1
,"Arts, entertainment and recreation  [71]",2013,2.6
,,2014,1.5
,,2015,1.4
,,2016,1.5
,,2017,2.3
,,2018,2.3
,,2019,2.6
,,2020,1.4
,,2021,1.6
,,2022,1.8
,,2023,1.9
,Accommodation and food services  [72],2013,29.3
,,2014,25.7
,,2015,28.3
,,2016,31.2
,,2017,31.4
,,2018,36.7
,,2019,46.4
,,2020,38.8
,,2021,59.4
,,2022,75.3
,,2023,77.2
,Other services (except public administration)  [81],2013,28.5
,,2014,28.4
,,2015,27.7
,,2016,27.4
,,2017,29.6
,,2018,33.1
,,2019,34.5
,,2020,38.3
,,2021,42.2
,,2022,48.4
,,2023,49.8
,Public administration  [91],2013,549.5
,,2014,554.1
,,2015,574.8
,,2016,597.5
,,2017,627.3
,,2018,657.8
,,2019,675.8
,,2020,651.2
,,2021,672
,,2022,646.2
,,2023,636.1
